City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
247,greenville,35.6127,-77.3663,8.02,95,100,2.06,US,1704632906
248,sweet home,44.3976,-122.7362,4.28,82,96,1.34,US,1704633157
249,kingston,17.997,-76.7936,24.02,86,1,0.45,JM,1704633125
250,agat village,13.3886,144.6585,27.06,90,0,3.09,GU,1704633159
251,vincennes,48.85,2.4333,3.73,84,100,5.81,FR,1704633159
252,la passe,45.5549,-0.8967,7.13,68,14,6.32,FR,1704633160
253,vernon,50.2581,-119.2691,1.34,69,98,2.06,CA,1704633161
254,pattaya,12.9333,100.8833,30.71,60,0,1.52,TH,1704633126
255,nelson bay,-32.7167,152.15,23.38,77,100,5.81,AU,1704633162
256,monte santo,-10.4378,-39.3328,32.75,31,38,2.59,BR,1704633163
257,esquina,-30.0144,-59.5272,21.94,94,100,4.59,AR,1704633164
258,vilyuysk,63.7553,121.6247,-36.67,95,100,2.68,RU,1704633165
259,bikenibeu village,1.3673,173.1241,26.98,89,75,1.54,KI,1704633165
260,rocha,-34.4833,-54.3333,28.14,58,100,3.41,UY,1704633166
261,constitucion,-35.3333,-72.4167,18.67,67,0,3.56,CL,1704633167
262,stephenville,32.2207,-98.2023,3.2,93,0,0.0,US,1704633167
263,les sables-d'olonne,46.6667,-1.8333,6.44,71,33,6.36,FR,1704633168
264,saint-priest-en-jarez,45.4667,4.3667,2.97,90,100,6.69,FR,1704633169
265,la libertad,-2.2333,-80.9,25.81,83,75,6.17,EC,1704633169
266,sierra vista,31.5545,-110.3037,10.03,15,20,7.2,US,1704633096
267,bayanhongor,46.7167,100.1167,-16.89,89,39,1.88,MN,1704633170
268,karymskoye,51.6167,114.35,-22.71,95,23,1.34,RU,1704633170
269,chauk,20.8833,94.8167,21.87,50,0,2.63,MM,1704633171
270,sarupathar,26.1984,93.8094,15.93,71,0,0.65,IN,1704633171
271,awjilah,29.1081,21.2869,19.73,14,3,7.43,LY,1704633172
272,cide,41.8921,33.0044,15.31,64,86,2.44,TR,1704633172
273,berezovo,63.9381,65.0419,-24.58,98,100,1.65,RU,1704633173
274,alexandria,31.2156,29.9553,22.91,33,15,4.78,EG,1704632889
275,kailua-kona,19.6406,-155.9956,22.0,83,75,2.06,US,1704633174
276,porecatu,-22.7558,-51.3792,31.77,39,0,2.54,BR,1704633011
277,geraldton,-28.7667,114.6,26.23,53,82,8.75,AU,1704633120
278,prado,-17.3411,-39.2208,27.5,75,92,3.06,BR,1704633021
279,siwa oasis,29.2041,25.5195,22.27,24,0,5.94,EG,1704633175
280,ceres,37.5949,-120.9577,5.01,87,0,4.63,US,1704633176
281,ambodifotatra,-16.9833,49.85,28.74,78,100,3.91,MG,1704633176
282,port lincoln,-34.7333,135.8667,17.05,88,100,6.35,AU,1704633177
283,baud,20.8333,84.3167,22.65,41,0,0.96,IN,1704633177
284,al qadarif,14.0349,35.3834,32.89,13,29,2.77,SD,1704632963
285,kearney,40.6995,-99.0815,-7.69,91,0,2.57,US,1704633178
286,rio grande,-32.035,-52.0986,29.06,79,46,3.52,BR,1704633179
287,necochea,-38.5473,-58.7368,23.57,58,0,1.55,AR,1704633179
288,sao joao da barra,-21.6403,-41.0511,28.05,74,99,1.3,BR,1704633180
289,ressano garcia,-25.442,31.9913,36.76,29,0,3.09,MZ,1704633180
290,anna regina,7.2644,-58.5077,27.66,68,5,4.58,GY,1704633181
291,kismayo,-0.3582,42.5454,28.6,66,60,8.77,SO,1704633182
292,chernyshevskiy,63.0128,112.4714,-19.76,96,100,3.29,RU,1704633183
293,mount pleasant,32.7941,-79.8626,9.44,85,75,5.14,US,1704632938
294,lorengau,-2.0226,147.2712,27.89,76,100,0.99,PG,1704633184
295,santana,-0.0583,-51.1817,25.57,86,100,0.82,BR,1704633185
296,abu tij,27.0441,31.319,25.13,21,0,1.44,EG,1704633185
297,dudinka,69.4058,86.1778,-19.66,98,100,8.05,RU,1704633187
298,afaahiti,-17.75,-149.2833,23.93,80,42,3.13,PF,1704633187
299,naze,28.3667,129.4833,13.51,56,2,6.18,JP,1704633188
300,vadso,70.0744,29.7487,-3.91,80,100,5.14,NO,1704633188
301,lewistown,40.5992,-77.5714,2.02,96,100,0.0,US,1704633189
302,betong,5.7743,101.0723,22.46,98,100,1.22,TH,1704633190
303,arkhangel'sk,64.5401,40.5433,-8.94,92,75,5.0,RU,1704633191
304,klyuchi,52.2667,79.1667,-4.55,96,86,3.87,RU,1704633192
305,krasnovishersk,60.4078,57.082,-20.07,95,100,2.26,RU,1704633192
306,mount isa,-20.7333,139.5,23.87,94,40,2.06,AU,1704633193
307,tosontsengel,48.7567,98.2839,-15.35,96,100,0.86,MN,1704633194
308,peace river,56.2501,-117.286,-19.76,98,57,1.04,CA,1704633007
309,plettenberg bay,-34.0527,23.3716,16.96,93,100,4.86,ZA,1704633195
310,belokurikha,51.9959,84.9896,-4.29,96,98,1.67,RU,1704633196
311,tomatlan,19.9333,-105.25,17.75,81,100,1.15,MX,1704633196
312,tralee,52.2704,-9.7026,5.14,93,0,1.03,IE,1704633197
313,kaposvar,46.3667,17.8,1.29,88,100,7.98,HU,1704632931
314,samoylovka,51.184,43.7081,-15.52,93,18,3.52,RU,1704633198
315,verkh-chebula,56.0308,87.6218,-22.96,100,55,1.6,RU,1704633199
316,perryton,36.4,-100.8027,-1.56,86,0,4.63,US,1704633200
317,toguchin,55.2353,84.3858,-24.58,100,80,2.06,RU,1704633200
318,hit,33.6416,42.8251,18.3,22,0,2.55,IQ,1704633201
319,cholpon-ata,42.6494,77.0823,0.58,75,76,1.8,KG,1704633201
320,prince george,53.9166,-122.753,-9.66,90,0,0.45,CA,1704633152
321,badger,64.8,-147.5333,-15.91,78,0,2.57,US,1704633202
322,salalah,17.0151,54.0924,28.05,21,0,8.23,OM,1704633203
323,san lucas ojitlan,18.0667,-96.3833,21.91,96,100,1.09,MX,1704633204
324,norresundby,57.0483,9.9352,-4.97,92,100,2.06,DK,1704633205
325,zhaoqing,23.0512,112.4597,23.23,63,69,2.52,CN,1704633205
326,alofi,-19.0595,-169.9187,24.94,94,46,2.57,NU,1704633206
327,anadyr,64.75,177.4833,-12.72,92,100,7.0,RU,1704633207
328,nizhneangarsk,55.7833,109.55,-17.78,94,100,1.79,RU,1704633207
329,leteri,24.05,77.4,19.53,59,86,2.71,IN,1704633208
330,nelson,-41.2833,173.2833,15.72,85,18,0.45,NZ,1704633208
331,newman,37.3138,-121.0208,5.02,73,0,3.13,US,1704633209
332,nyurba,63.2842,118.3319,-24.2,99,100,1.23,RU,1704633210
333,magalia,39.8121,-121.5783,-2.25,79,2,3.19,US,1704633210
334,langsa,4.4683,97.9683,24.32,94,100,1.29,ID,1704633211
335,port isabel,26.0734,-97.2086,15.01,91,0,1.54,US,1704633212
336,yanchep,-31.55,115.6833,28.34,70,100,4.83,AU,1704633212
337,kudat,6.8837,116.8477,24.96,100,91,1.03,MY,1704633214
338,atafu village,-8.5421,-172.5159,28.65,75,100,4.79,TK,1704633215
339,abqaiq,25.9371,49.6776,20.38,23,0,6.62,SA,1704633215
340,khmelnytskyi,49.4216,26.9965,-5.62,92,100,7.51,UA,1704633216
341,ghanzi,-21.5667,21.7833,33.54,22,96,3.31,BW,1704633216
342,susuman,62.7833,148.1667,-38.9,99,99,0.45,RU,1704633217
343,qaqortoq,60.7167,-46.0333,1.12,75,89,3.58,GL,1704633218
344,nadym,65.5333,72.5167,-20.15,93,100,3.7,RU,1704633218
345,buala,-8.145,159.5921,26.62,83,96,1.39,SB,1704633219
346,banjar,-8.19,114.9675,25.57,86,100,1.67,ID,1704633219
347,roma,43.2128,-75.4557,-0.51,97,100,1.54,US,1704633029
348,yuzhno-kurilsk,44.0306,145.8556,-1.46,79,51,4.03,RU,1704633220
349,mwinilunga,-11.7358,24.4293,24.43,74,40,2.45,ZM,1704633221
350,solnechnyy,50.7214,136.6319,-23.98,97,78,1.68,RU,1704633222
351,fort bragg,35.139,-79.006,7.89,94,100,4.12,US,1704633222
352,sandwich,41.6459,-88.6217,-0.17,93,100,5.14,US,1704633223
353,namibe,-15.1961,12.1522,24.99,66,100,4.48,AO,1704633224
354,mahdia,35.5047,11.0622,15.97,38,7,11.72,TN,1704633224
355,batang,-6.4846,110.7083,26.1,87,100,1.06,ID,1704632995
356,nova sintra,14.8667,-24.7167,21.52,70,6,6.76,CV,1704633225
357,north madison,38.7678,-85.3966,1.44,96,100,3.13,US,1704633225
358,el calafate,-50.3408,-72.2768,10.38,71,100,5.15,AR,1704633226
359,lihue,21.9789,-159.3672,21.58,89,40,2.57,US,1704633149
360,manta,-0.95,-80.7333,26.67,74,100,6.26,EC,1704633227
361,coquimbo,-29.9533,-71.3436,18.85,77,75,3.6,CL,1704633228
